Title,Author,Ratings,Reviews,Price,Year,Genre
The Great Gatsby,F. Scott Fitzgerald,4.2,15893,10,1925,Classic
To Kill a Mockingbird,Harper Lee,4.3,21094,15,1960,Classic
1984,George Orwell,4.4,25432,20,1949,Dystopian
The Catcher in the Rye,J.D. Salinger,3.9,12084,12,1951,Fiction
Pride and Prejudice,Jane Austen,4.5,19874,8,1813,Romance
The Hobbit,J.R.R. Tolkien,4.7,34567,25,1937,Fantasy
Moby Dick,Herman Melville,3.8,4892,18,1851,Adventure
War and Peace,Leo Tolstoy,4.1,8743,22,1869,Historical
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.8,98745,30,1997,Fantasy
The Alchemist,Paulo Coelho,4.2,45632,14,1988,Philosophy
